store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,competitor_count_500m,nearest_transit_distance_m,median_income,pop_density_sqkm,pct_age_20_39
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,Downtown,17,18.016058741646436,45590.91,10902.6,48.6
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,Denman Village,13,67.12389420118018,45670.18,26340.41,43.5
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,Yaletown,16,58.12782738293309,49876.74,17564.06,49.46
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,Downtown Eastside,5,97.91810475733658,38531.25,9012.49,41.88
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,Gastown,20,29.921418284342163,47059.26,11555.62,51.66
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,Financial District,12,245.2332960520999,45507.69,11268.16,46.63
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,Davie Village,11,116.00006036151755,45331.51,22831.24,49.03
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,Yaletown,19,41.17995688192717,51596.0,20042.06,46.94
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,Yaletown,11,126.63179826788908,53163.83,19943.68,48.4
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,Little Italy,0,26.65637435986467,45062.86,6833.43,36.64
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,Lower Robson,12,59.77120741026365,45588.41,21925.39,46.3
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.5,1,Chinatown,13,61.826644650149575,38296.55,12191.04,42.36
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,Lower Robson,13,12.52314887376158,45147.54,24598.78,44.21
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,Chinatown,19,53.63485047752803,48429.41,13454.61,48.95
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,Lower Robson,14,19.06277491233838,45545.45,22153.3,43.79
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,Yaletown,19,108.35438108453413,48950.98,18255.76,50.62
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,Japantown,4,140.21573015889925,36635.71,8493.28,37.58
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,Yaletown,24,34.52474980382144,49743.33,22818.21,47.47
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,Downtown,20,93.59177718726454,47770.42,21320.82,49.26
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,Yaletown,23,87.23914647799376,49033.33,18192.7,50.63
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,Kitsilano,4,176.34457498564964,54808.33,8546.23,41.65
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,Yaletown,25,184.93336476521884,51362.26,21291.91,48.29
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,Financial District,12,194.193877453685,46059.26,11616.93,47.74
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,Coal Harbour,9,191.1321879242539,44679.07,22035.63,43.23
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,Chinatown,19,32.84746246653956,48120.0,13733.22,48.82
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,Yaletown,21,129.7526362494496,50952.08,20315.08,50.46
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,Fairview,8,32.28566411987487,56410.0,8660.42,38.38
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,West End,12,122.14393927162791,45241.79,19012.31,48.54
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,Yaletown,17,104.52113655183466,48612.82,24414.96,48.47
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,Financial District,15,66.98423544307808,46325.0,12484.69,48.29
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,Riley Park,4,17.590674624909582,49648.72,6693.66,35.05
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,Yaletown,23,147.1631502791943,51384.91,21057.57,48.02
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,Davie Village,4,10.782288245137778,45473.08,24198.29,48.94
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,Fairview,1,49.78713961415875,54507.5,10940.23,40.47
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,Davie Village,10,49.88375925906814,45140.85,22129.21,48.26
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,Chinatown,19,24.90959925756874,43411.76,12415.09,47.61
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,Lower Robson,13,83.58864871257039,45387.1,22644.64,43.75
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,Downtown,21,48.60017658465843,48435.0,14327.25,51.32
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,Lower Robson,13,41.80437283649973,45147.54,23765.56,44.18
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,Yaletown,24,34.02548772907132,49743.33,22818.21,47.47
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,South Granville,1,46.51157583870222,54488.1,8219.24,41.72
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,Financial District,10,345.6260323306837,44895.24,12146.31,45.88
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,Chinatown,17,64.9020048252157,40006.45,10966.19,44.37
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,Lower Robson,14,43.741747276590154,45513.04,22528.33,44.49
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,Lower Robson,12,84.88591901852101,45233.33,25063.69,44.1
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,Downtown,7,143.18947504303492,49511.76,17934.25,49.78
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,Grandview-Woodland,1,132.29739302730903,43697.44,7228.75,37.78
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,Gastown,15,142.87222344169612,39384.62,10523.52,45.32
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,Financial District,19,85.34953640145096,46841.86,17466.69,51.56
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,Davie Village,5,21.16003423208933,46325.64,25058.72,49.04
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,Riley Park,1,120.09330757117355,48990.62,6065.56,31.94
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,Financial District,19,43.47358892882296,47026.67,17704.84,50.58
Tavola,Vancouver,49.2918164,-123.1357186,4.4,1,Lower Robson,11,65.83401866539032,45631.37,26455.61,42.94
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,Yaletown,22,25.865813330267375,49603.12,25751.01,47.79
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,South Granville,2,361.01066746939097,53185.37,13765.48,41.32
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,Fairview,8,6.678860193750218,56396.55,8360.95,38.1
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.2,1,Yaletown,17,128.93725279774492,51250.98,22315.78,45.61
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,Granville,10,89.95986943766403,50539.29,21215.01,44.7
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,Downtown,21,54.55291244483032,46740.28,20371.01,50.19
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,Yaletown,18,74.32290006895414,51653.06,20256.81,46.24
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,Downtown,14,154.75566780070673,45824.0,11637.95,48.28
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,Riley Park,3,48.80749788810439,50371.43,7705.59,38.29
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,Gastown,20,94.9623047859062,43288.89,10466.33,49.76
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,Fairview,8,40.59180435220434,56410.0,8660.42,38.38
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,Financial District,14,119.03831206827329,46348.39,14620.07,48.49
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,Financial District,14,62.29366163490229,46400.0,11107.71,49.0
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,Fairview,1,27.90070349350148,53861.11,8128.57,43.33
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,Granville,32,64.19859942071194,49590.62,21693.12,48.95
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,Yaletown,26,66.5077691612502,51669.39,21134.36,48.2
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,Lower Robson,11,73.23016013922218,45631.37,26455.61,42.94
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,Granville,32,96.84285121907531,48877.14,23774.53,48.39
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,Fairview,7,63.029969693515326,55909.68,9895.18,42.86
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,West End,17,57.470293970622656,47250.62,23195.66,49.65
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,Mount Pleasant,1,36.45769331633955,46745.24,7971.15,46.91
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,Mount Pleasant,4,88.13699893877123,52830.3,10196.9,49.68
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,Downtown,22,57.847696312459725,48284.21,13601.73,50.91
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,Chinatown,18,14.671275283084992,47712.5,12542.43,51.69
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,Denman Village,3,59.12639236246667,45482.76,24653.96,43.57
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641404,4.6,1,Gastown,16,100.90842140528632,38866.67,10472.78,44.73
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,Grandview-Woodland,0,235.49404203295592,44495.65,4715.68,37.01
Mott 32,Vancouver,49.2868703881444,-123.124537612795,3.9,0,Coal Harbour,13,30.425898250530302,45059.65,17497.65,47.79
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,Denman Village,13,51.52549399575768,45532.2,25848.9,43.64
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,Downtown Eastside,10,10.930447176184115,37579.31,8625.43,38.62
Raisu,Vancouver,49.2679990419609,-123.158381134272,4.3,1,Kitsilano,0,70.3179299979423,53682.98,10044.85,41.94
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,Riley Park,4,7.911230767375117,51346.34,8329.22,40.74
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,Gastown,19,58.25295567289824,45337.93,11833.53,50.91
Suyo Modern Peruvian,Vancouver,49.2540292,-123.1010659958052,4.5,1,Riley Park,4,35.312608922287225,50767.57,7972.15,38.8
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,Gastown,18,25.769941909627654,40528.57,11038.37,44.97
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,Gastown,17,80.50847009876263,39384.62,10523.52,45.32
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,Kitsilano,3,27.832981356298493,54948.48,8328.06,43.06
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,Chinatown,19,96.99520847529544,47288.24,13234.57,49.32
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,Fairview,2,48.203133682204864,55361.54,10785.21,39.89
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,Mount Pleasant,7,31.853446860580696,56120.0,9816.14,42.82
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,Financial District,17,65.60564823224279,46411.11,14832.34,50.36
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,Fairview,2,377.35230127381806,53721.43,13074.09,41.17
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,Lower Robson,13,12.129937086738892,45147.54,24598.78,44.21
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,Downtown,23,83.57977716485672,48229.27,13973.04,51.12
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,Granville,26,87.20789157676604,49274.63,23857.68,47.8
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,Davie Village,16,64.92180091664216,47289.74,25600.96,48.41
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,Japantown,3,82.75986997150278,35130.77,7868.87,35.62
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,Granville,31,107.3608701761091,48940.0,23795.76,48.41
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,Yaletown,19,50.53700969207118,51157.69,20357.6,46.5
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,Lower Robson,12,60.22554573243856,45147.54,24598.78,44.21
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,4.3,1,Granville,25,69.2665965867354,48797.18,23263.66,48.41
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,Yaletown,21,97.53086948772436,52132.0,21480.58,47.98
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,Victoria-Fraserview,0,269.1526903356999,37778.95,5262.36,27.92
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,Mount Pleasant,4,36.18236811168609,52568.75,10388.63,50.29
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,Gastown,18,73.97469700318338,41170.37,11010.59,46.96
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,Chinatown,19,10.85113292041144,42812.5,12649.65,47.28
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,Mount Pleasant,4,29.49789035253302,52485.71,8585.34,50.09
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,Financial District,11,125.02085569037104,45684.21,9656.4,46.68
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,Davie Village,15,8.127355921869666,48781.08,26130.36,48.11
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,Yaletown,22,40.01429986914926,48505.17,18002.03,50.35
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,Yaletown,21,132.55770429391694,48484.62,23522.86,48.41
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.7,1,Granville,22,79.17196714434743,49063.79,18296.73,50.58
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,Kitsilano,4,203.17053166414897,54797.44,8793.34,41.54
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,Mount Pleasant,4,31.427079382194197,52485.71,8585.34,50.09
Song,Vancouver,49.2629749,-123.0986667,4.4,1,Mount Pleasant,5,52.72525838719499,50631.43,7019.83,47.97
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,Chinatown,19,56.99281447592099,45337.93,12068.21,50.98
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,Little Italy,1,95.41351845558349,44605.0,7141.66,37.33
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,Little Saigon,0,90.19437534294748,39221.05,7081.01,33.79
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.6,0,Downtown,22,94.75953933089058,47422.37,23280.93,48.55
Yolks,Vancouver,49.2631139,-123.1163529,3.6,0,Fairview,8,27.289613224270283,56396.55,8360.95,38.1
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,Yaletown,18,66.46283794191034,50206.12,18095.77,50.6
Le Petit Belge,Vancouver,49.278975790117805,-123.116520502828,4.2,1,Yaletown,18,26.71819240997117,49978.43,18276.77,50.58
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,Chinatown,21,21.585621394134225,48111.11,12889.19,51.19
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,Mount Pleasant,1,72.80815574264885,46455.77,9111.05,42.93
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,Yaletown,19,118.4290638563887,51796.0,20869.79,47.75
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,Chinatown,7,22.003842126836325,38194.12,7614.85,41.54
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,Yaletown,21,89.04726163170261,49829.41,17989.5,50.63
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,Downtown,19,41.06660257254003,46052.0,17582.68,49.67
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,Strathcona,3,19.200560082215784,40803.57,12065.71,46.37
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,Chinatown,13,50.7245616612047,38873.33,12027.22,42.26
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,Kitsilano,3,67.60757269014788,55197.87,9328.23,41.69
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,Fairview,8,24.224472265820076,55070.27,8103.33,38.98
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,Granville,19,69.91408107937275,48620.78,23281.34,47.96
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,Fairview,5,47.78477201639204,55465.71,10228.27,39.65
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,Mount Pleasant,2,59.3212968188686,50885.71,8648.13,42.96
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,Mount Pleasant,7,135.11039422200693,55803.57,9629.0,43.51
New Fuji,Vancouver,49.27082027992868,-123.14700923860072,4.3,1,Kitsilano,4,173.76365364293565,54656.76,8619.11,41.65
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,Mount Pleasant,1,19.86118842075381,55255.88,8169.45,37.53
Vonns,Vancouver,49.28724,-123.14124,4.5,1,Lower Davie,3,21.324130578282823,45635.09,24715.08,44.79
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,Chinatown,7,52.158278640314904,38531.25,9012.49,41.88
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,Mount Pleasant,1,43.73532179066232,46181.63,8943.99,42.35
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,Hastings-Sunrise,0,94.1170448428135,35914.29,6069.4,30.06
Dovetail,Vancouver,49.27599363324675,-123.120331,4.3,1,Yaletown,24,138.4214740908193,51988.24,21308.05,48.13
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,Downtown,16,85.16217353199482,45468.75,19171.58,49.57
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,Lower Robson,10,13.16158346915599,45221.92,22052.17,47.42
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,Lower Davie,3,30.701075416589315,45461.04,22773.07,48.79
Ray's,Vancouver,49.275365,-123.121483,4.5,1,Yaletown,19,93.73612079133004,51750.0,19022.15,47.32
CHOCHO Hot Pot,Burnaby,49.231234,-123.006943,4.5,1,Metrotown,20,47.48794482029249,34352.94,8438.16,37.43
John 3:16 Malaysian Delights,Burnaby,49.22494698851795,-122.9900406,4.5,1,Metrotown,6,51.85658073480115,33391.67,7172.09,40.64
The Meat Up,Burnaby,49.2254546362785,-122.98992646931154,4.1,1,Metrotown,6,27.30642952370444,32742.86,7153.16,41.13
White Lotus Cafe,Burnaby,49.2656111504516,-122.97883607144,4.5,1,,1,151.5538498826411,39566.67,3498.82,28.95
Saku,Burnaby,49.26543,-123.005428,4.5,1,Brentwood,14,164.0637985831454,43350.0,6948.55,48.74
22's Grill,Burnaby,49.2430980643898,-122.969388433881,4.4,1,,1,121.50760738706909,37160.0,1767.4,25.5
Atlas Steak + Fish,Burnaby,49.256747,-123.006931,4.0,1,Brentwood,1,325.48711452036963,38457.14,1059.86,24.93
Gokudo Shabu Shabu,Burnaby,49.230168460812294,-123.0038528105504,4.4,1,Metrotown,20,124.93109401135504,33788.89,11655.46,39.43
Shanghai Dimsum House,Burnaby,49.2294464,-123.0044077,4.0,1,Metrotown,21,84.53596543318454,33788.89,11655.46,39.43
Living Room Lounge,Burnaby,49.2551,-123.02032,4.5,1,Cascade Heights,4,94.10522432141843,38485.71,2455.2,28.49
Korea Noodle House,Burnaby,49.229066,-123.004751,4.2,1,Metrotown,21,80.97559136044138,34248.65,8985.11,39.16
Haidilao Hotpot Brentwood,Burnaby,49.267417,-123.00189,4.6,1,Brentwood,13,82.71339286511865,41685.71,6598.09,46.03
Wild Flour Pizza,Burnaby,49.2584540319258,-122.955439905848,4.7,1,,0,18.42856685539312,41927.27,2754.06,23.84
Singapore Hawker,Burnaby,49.218768,-122.96447913871704,4.1,1,Edmonds,6,58.09646082189814,36728.0,7219.07,32.88
Wild Thyme,Burnaby,49.2092291,-122.932308,4.4,1,Kelvin,9,7.210249857936038,40412.5,6519.26,30.84
Safari Snack House And Grill,Burnaby,49.239118670642895,-122.96287338465577,3.9,0,Buckingham Heights,3,81.58289124261282,44600.0,2071.61,28.33
Kokoro Tokyo Mazesoba,Burnaby,49.228287011321385,-123.00315331667662,4.0,1,Metrotown,19,63.18454567877673,33705.26,10982.18,39.28
STEM Japanese Eatery,Burnaby,49.21497276456137,-122.98816101534425,4.2,1,Royal Oak,3,26.203189289248975,36630.0,4651.66,35.77
Jovo the Butcher,Burnaby,49.22185,-122.94565,5.0,1,Edmonds,9,15.603469532510848,35620.69,6699.1,32.51
OEB Breakfast,Burnaby,49.267442,-123.002595,4.1,1,Brentwood,13,37.45148749364946,41685.71,6598.09,46.03
Siam Le Bien,Burnaby,49.2813,-123.01068,4.3,1,Burnaby Heights,11,104.92701602967324,40544.0,5347.52,26.59
Takara Sushi,Burnaby,49.2545851,-123.0220016,4.4,1,Cascade Heights,4,41.123497840677615,38320.0,2574.45,28.44
囍·澳门特色打边炉  Authentic Macau Hot Pot,Burnaby,49.2277884925998,-123.00316795158996,4.3,1,Metrotown,17,77.98842141883762,33473.68,10719.99,39.53
Burnaby Mountain Clubhouse,Burnaby,49.265138,-122.943048,4.1,1,,0,437.9658066973759,40654.55,2766.8,23.87
Green & Oak Malaysian Restaurant,Burnaby,49.28081,-123.02185,3.9,0,Burnaby Heights,5,45.81374543729924,41555.56,4704.76,27.91
Grand Chinese Restaurant,Burnaby,49.266893,-123.004262,4.0,1,Brentwood,13,96.06644588915792,42618.18,6874.09,46.95
Birdies,Burnaby,49.2655537242762,-123.01959240000002,4.0,1,West Central Valley,1,173.61685169445312,35860.0,4277.68,40.35
The Viet Noodle Guy,Burnaby,49.26721987665755,-123.00572763320037,4.1,1,Brentwood,14,175.13172001620177,42440.0,6719.06,47.4
Portobello Restaurant,Burnaby,49.280764,-123.013394,4.7,1,Burnaby Heights,12,21.351661702704902,40571.43,5372.39,27.75
NamPo,Burnaby,49.22620549734934,-122.9917955,4.4,1,Metrotown,6,20.862207921265018,32180.95,9216.81,41.76
Little Minh's,Burnaby,49.1990675,-122.9799962,4.3,1,Big Bend,1,102.49342945815351,42400.0,151.96,24.57
Masita Korean Cuisine,Burnaby,49.218978345984,-122.969008660356,3.9,0,Edmonds,4,48.83162182960846,37009.09,5862.87,33.77
Cactus Club Cafe,Burnaby,49.22775581945971,-123.00329214418927,3.9,0,Metrotown,17,73.5643124413995,33473.68,10719.99,39.53
Sooda Korean BBQ,Burnaby,49.2680924,-123.0003773,4.1,1,Brentwood,13,188.29919185898305,41692.31,6649.43,46.58
Burnt Orange,Burnaby,49.280836,-123.007658,4.5,1,Burnaby Heights,7,37.320244952539966,39046.15,5128.25,26.86
Horin Ramen,Burnaby,49.22901506843291,-123.00505047055158,4.5,1,Metrotown,21,59.18017182690141,34311.11,9118.39,39.18
