store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,dissemination_area_id,population,pop_density_sqkm,age_demographic,median_income
Riverway Clubhouse Restaurant,Burnaby,49.200617,-122.990237,3.5,0,Big Bend,59153633,803.0,97.3,39.6,46000.0
La Forêt,Burnaby,49.2212819390063,-122.995836958493,3.7,0,Royal Oak,59151322,929.0,4801.0,40.4,31200.0
The Keg Steakhouse + Bar,Burnaby,49.2596278,-123.0019108,3.9,0,Brentwood,59151397,675.0,645.1,38.0,36800.0
Chettinad Dosa Palace,Burnaby,49.23933,-122.96364,3.2,0,Buckingham Heights,59152908,986.0,3197.1,34.8,41200.0
SOCRATES in the Heights,Burnaby,49.2811430405355,-122.998363226652,4.5,1,,59150296,610.0,1707.2,39.6,36800.0
Chad Thai,Burnaby,49.2809351,-123.0160318,4.1,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Claudio's,Burnaby,49.265511702879046,-123.00492429325408,3.8,0,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Gaon  Korean Cuisine,Burnaby,49.223246,-122.982823,4.2,1,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Tendon Kohaku,Burnaby,49.2278910406839,-123.00348046083376,3.7,0,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
Trattoria by Italian Kitchen,Burnaby,49.23020501851105,-123.0039327,3.2,0,Metrotown,59153494,634.0,20584.4,38.4,28200.0
Fraser Park Restaurant,Burnaby,49.1941802,-122.9979206,4.2,1,Big Bend,59153633,803.0,97.3,39.6,46000.0
Chao Shou Wang,Burnaby,49.2290734,-123.0048795,4.1,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Sushi Taku,Burnaby,49.23982721439047,-123.03001648836062,4.3,1,Renfrew-Collingwood,59151354,483.0,7944.1,37.6,36400.0
Hiel Cafe,Burnaby,49.2190187,-122.92795,4.3,1,Edmonds,59152919,738.0,4755.2,42.0,33600.0
MYST Asian Fusion,Burnaby,49.21936313246308,-122.9706842,3.6,0,Edmonds,59153649,734.0,4810.0,49.2,41200.0
La Forêt - Royal Oak,Burnaby,49.2203,-122.98637,4.3,1,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Chào Mámi,Burnaby,49.2808832078838,-123.014717570458,4.0,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Argo Greek Cuisine Pizza Pasta,Burnaby,49.2544359,-123.02071005595984,4.2,1,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
JOEY Burnaby,Burnaby,49.2669122,-123.0066466,3.7,0,West Central Valley,59151406,8800.0,6591.3,35.6,51600.0
Taku Japanese Kitchen,Burnaby,49.21462,-122.98827,4.8,1,Royal Oak,59153642,605.0,6098.8,41.6,36800.0
Chen,Burnaby,49.28086095595619,-123.0091730738817,4.1,1,Burnaby Heights,59150320,704.0,5799.0,42.8,39200.0
Wang's Shanghai Cuisine,Burnaby,49.232843,-123.034814,4.3,1,Killarney,59151472,603.0,7490.7,41.2,30000.0
Big Way Hot Pot,Burnaby,49.2310987,-123.0083309711633,4.0,1,Metrotown,59151299,668.0,13604.9,39.2,34800.0
Kokoro Tokyo Mazesoba,Burnaby,49.26695219266848,-123.00631798803806,4.3,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Adam's Crepes,Burnaby,49.2149649,-122.9880349,4.6,1,Royal Oak,59153643,932.0,5344.0,43.6,38800.0
Tenen,Burnaby,49.21549,-122.98895,4.2,1,Royal Oak,59151332,733.0,6227.7,39.6,31000.0
Kimshaker,Burnaby,49.2332,-123.013747,4.4,1,Metrotown,59151346,508.0,6997.2,59.6,31000.0
B&D Authentic Viet Cuisine,Burnaby,49.21818434432872,-122.9578841,3.8,0,Edmonds,59153385,1361.0,13074.0,40.8,40000.0
El Inka Latin Deli,Burnaby,49.24941,-123.01912,4.4,1,Cascade Heights,59151381,702.0,6020.6,44.0,40000.0
Earls Kitchen + Bar,Burnaby,49.2279486,-123.0027748,3.9,0,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
Bow & Stern,Burnaby,49.2681023,-123.0000943,3.7,0,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Cockney Kings Fish & Chips,Burnaby,49.28005299920758,-122.96652586933914,4.0,1,,59150277,498.0,3165.9,43.2,34000.0
Saffron Indian Cuisine,Burnaby,49.2311623,-123.0085405,3.8,0,Metrotown,59151299,668.0,13604.9,39.2,34800.0
Time & Place Kitchen | Bar,Burnaby,49.22869,-123.004102,3.7,0,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Aroma Eatery,Burnaby,49.228417734136464,-123.00491628393937,4.4,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Viva Sue Pizza,Burnaby,49.2391579,-122.9625575,4.2,1,Buckingham Heights,59152908,986.0,3197.1,34.8,41200.0
Balkan House,Burnaby,49.22219,-122.94393,3.4,0,Eastburn,59151261,603.0,4493.3,41.2,35600.0
The One Restaurant,Burnaby,49.2211721,-122.9774371,3.4,0,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Soup Meister,Burnaby,49.31028,-123.08191,4.3,1,The Shipyards,59153970,2195.0,10828.8,47.6,58000.0
Hart House Restaurant,Burnaby,49.23804,-122.96671,3.7,0,Buckingham Heights,59152907,487.0,973.8,46.0,49600.0
Pho Hong Vietnamese Restaurant,Burnaby,49.2213203,-122.9769818,2.9,0,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Big Way Hot Pot,Burnaby,49.23150769999999,-123.0094545,3.6,0,Metrotown,59151299,668.0,13604.9,39.2,34800.0
L'Artista,Burnaby,49.281231129459975,-123.0188885,4.0,1,Burnaby Heights,59153311,600.0,5736.1,41.2,41600.0
Anatolia's Gate Restaurant,Burnaby,49.2183151,-122.9579254,3.8,0,Edmonds,59153385,1361.0,13074.0,40.8,40000.0
The Bao Place,Burnaby,49.21942124951652,-122.9500496,4.3,1,Edmonds,59151341,797.0,7597.7,36.0,31600.0
Golden Pita Lebanese Restaurant,Burnaby,49.2531819933441,-122.897602039217,4.2,1,Sullivan Heights,59153381,4022.0,9362.2,40.8,34000.0
Sushi U,Burnaby,49.2654624429451,-122.978147623681,4.5,1,,59150286,718.0,3013.0,42.4,36400.0
Agra Tandoori Restaurant,Burnaby,49.25443,-123.02066,3.9,0,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
Shanghai Fortune Cuisine,Burnaby,49.22954179328731,-123.0046759319506,3.9,0,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Mongo Bongo,Burnaby,49.2135179,-122.9193884,3.9,0,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
1003 Brunch & Dessert,Burnaby,49.22447173359129,-122.9899072,4.1,1,Metrotown,59151326,521.0,25048.1,39.6,33600.0
Cayenne Bistro & Grill,Burnaby,49.2213856,-122.9309353,4.8,1,Edmonds,59152919,738.0,4755.2,42.0,33600.0
Zaaki Cuisine,Burnaby,49.2131145,-122.9200483,4.6,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Kozak Ukranian Eatery,Burnaby,49.2114757572234,-122.918422905028,4.4,1,Queens Park,59152859,720.0,4774.5,47.6,45600.0
Midam Rice Cake House,Burnaby,49.24411305860233,-122.89468909572412,3.4,0,Lougheed,59153353,2110.0,3000.1,38.0,39600.0
Chicko Chicken Korean Style,Burnaby,49.2191861,-122.9505083,4.1,1,Edmonds,59151340,1302.0,11552.8,36.0,36000.0
Kimbap Cheonguk,Burnaby,49.2446982,-122.8918313,4.4,1,Cariboo,59151566,1417.0,2108.9,37.6,40000.0
H&P Noodle House,Burnaby,49.281271,-123.015823,3.9,0,Burnaby Heights,59153313,671.0,7730.4,49.6,38800.0
Pearl Hot Pot,Burnaby,49.2188387,-122.964481,3.3,0,Edmonds,59153651,528.0,9795.9,33.2,36000.0
Afghan Turkish Cuisine,Burnaby,49.2807738,-123.0028986,4.0,1,Brentwood,59150295,523.0,6233.6,42.4,34400.0
Sushi Bar Kilala,Burnaby,49.2811517065771,-122.995635763696,4.3,1,,59150296,610.0,1707.2,39.6,36800.0
Green Leaf Cafe,Burnaby,49.2533051,-122.8982928,4.1,1,Sullivan Heights,59153381,4022.0,9362.2,40.8,34000.0
Nén,Burnaby,49.224096740087546,-122.9416219,4.1,1,Eastburn,59151272,1050.0,10606.1,75.5,23800.0
#CHIBOP,Burnaby,49.2677387,-123.0064866,4.5,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Katsuya,Burnaby,49.26175,-122.89038,4.4,1,Burquitlam,59154366,950.0,13418.1,34.8,38800.0
Olove Greek Kitchen,Burnaby,49.2804849,-122.9779067,4.0,1,,59153320,501.0,5812.1,47.2,29200.0
CM Chicken,Burnaby,49.22732659553047,-122.99451665152054,4.3,1,Metrotown,59153495,954.0,14498.5,39.2,30800.0
Tap & Barrel - Brentwood,Burnaby,49.26741280132382,-123.00188253558166,4.2,1,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Gyubee Japanese Grill,Burnaby,49.1712466,-123.1351984,4.3,1,Lansdowne Village,59153408,1777.0,12039.3,36.8,27600.0
The Gray Olive Cafeteria,Burnaby,49.2807699,-123.01164,4.1,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Barcelos Flame Grilled Chicken,Burnaby,49.19813330438935,-122.97878590283268,3.8,0,Big Bend,59153633,803.0,97.3,39.6,46000.0
Simba’s Grill,Burnaby,49.2545127,-123.0231251,4.0,1,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
Porker Face,Burnaby,49.266783,-123.004713,4.4,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
No.1 Beef Noodle House,Burnaby,49.2425291,-123.004037333135,3.4,0,Garden Village,59151387,809.0,2779.1,40.0,35600.0
BIN 4 Burger Lounge,Burnaby,49.2641572,-123.022698,4.0,1,West Central Valley,59151406,8800.0,6591.3,35.6,51600.0
Butchers Block BBQ,Burnaby,49.28129,-123.01453,3.8,0,Burnaby Heights,59153313,671.0,7730.4,49.6,38800.0
Hooray Cafe & Coffee Lab,Burnaby,49.24362,-122.969446,5.0,1,Metrotown,59152909,560.0,252.0,41.6,35200.0
Manjal South Indian Kitchen,Burnaby,49.2232674,-122.9428279,4.4,1,Edmonds,59151272,1050.0,10606.1,75.5,23800.0
Yasser’s Cafe,Burnaby,49.249928600037144,-123.01896657748732,4.7,1,Cascade Heights,59151380,647.0,6476.5,38.0,40000.0
Indian Bombay Bistro,Burnaby,49.2231570510965,-122.932603361937,3.9,0,Edmonds,59151265,563.0,5076.6,39.2,37200.0
Chongqing,Burnaby,49.22671131459038,-122.99363543518692,3.4,0,Metrotown,59151328,907.0,15425.2,35.6,37600.0
Onggi Korean Cusine,Burnaby,49.24377273960674,-122.8933061286807,4.1,1,Lougheed,59153353,2110.0,3000.1,38.0,39600.0
Galbi Korean BBQ Kingsway,Burnaby,49.23111096061143,-123.00824046134947,4.2,1,Metrotown,59151299,668.0,13604.9,39.2,34800.0
Amay’s House,Burnaby,49.23446,-123.036137,4.3,1,Collingwood,59153498,728.0,8584.9,50.4,34400.0
Indian Wok,Burnaby,49.2248408,-122.9884673,4.2,1,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Patsara Thai Restaurant,Burnaby,49.204305,-122.908055,4.0,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Taverna Greka Restaurant,Burnaby,49.2049414,-122.9043168,4.1,1,Downtown,59152837,852.0,5768.4,38.0,49600.0
WhataFood Brazilian Street Food,Burnaby,49.2010175,-122.9131833,4.5,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
El Comal,Burnaby,49.247876818077,-122.940112248954,3.9,0,,59151497,573.0,225.7,42.4,40800.0
Pizza Garden,Burnaby,49.2252262,-123.0037541,4.0,1,Metrotown,59153555,1282.0,21914.5,33.2,34800.0
La Querida,Burnaby,49.22946626623539,-123.0052947,4.5,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Hello Nori,Burnaby,49.26780681630291,-123.00235434393312,4.1,1,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Mumbaiyaa Street Foods,Burnaby,49.28087,-123.012439,4.7,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Joy Sushi,Burnaby,49.2643086657704,-123.010636587766,3.9,0,West Central Valley,59151406,8800.0,6591.3,35.6,51600.0
Motonobu Udon,Burnaby,49.2813968,-123.0280718,4.2,1,Hastings-Sunrise,59150310,748.0,6837.3,33.2,40000.0
Sushi Modo,Burnaby,49.225836,-122.937422,4.3,1,Eastburn,59151264,617.0,5163.2,39.6,34400.0
Afghan Kabul Kebab Donair,Burnaby,49.2808,-123.01483,4.8,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Cioffi's Meat Market & Deli,Burnaby,49.2809151,-123.0125253,3.7,0,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Kim's Korean Waffles and Pancakes,Burnaby,49.24391068955245,-122.89353297814628,4.6,1,Lougheed,59153353,2110.0,3000.1,38.0,39600.0
Fung May,Burnaby,49.2288939318384,-123.004783375498,3.4,0,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Sushi On,Burnaby,49.22336826591775,-122.9432077,4.2,1,Eastburn,59151272,1050.0,10606.1,75.5,23800.0
X-Site Grill & Bistro,Burnaby,49.2811349,-122.9993576,3.8,0,,59150296,610.0,1707.2,39.6,36800.0
Pinoy Cravings,Burnaby,49.21947050000001,-122.9499774,4.3,1,Edmonds,59151341,797.0,7597.7,36.0,31600.0
Pho Den,Burnaby,49.21985466539446,-122.970256331213,3.9,0,Edmonds,59153647,481.0,4441.4,34.0,34000.0
Just Waffles,Burnaby,49.28128196346295,-123.02744138985872,4.5,1,Hastings-Sunrise,59150310,748.0,6837.3,33.2,40000.0
Queen's Meat & Deli,New Westminster,49.2135565,-122.9106876,5.0,1,Queens Park,59152862,472.0,3821.9,49.2,58400.0
El Santo,New Westminster,49.2022405,-122.9093807,3.7,0,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Taqueria Playa Tropical,New Westminster,49.2097840906051,-122.91639733055,3.7,0,Glenbrooke North,59152859,720.0,4774.5,47.6,45600.0
Han Lin Noodle House,New Westminster,49.210381277082135,-122.91715603819992,3.5,0,Glenbrooke North,59152859,720.0,4774.5,47.6,45600.0
Columbia Street Sandwich,New Westminster,49.2034109,-122.9071758,4.6,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
The Spud Shack Fry,New Westminster,49.20095020309591,-122.91302027887068,4.0,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Piva Modern Italian,New Westminster,49.201547,-122.911386,4.0,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
The Old Spaghetti Factory,New Westminster,49.201925687134,-122.91260507829,3.5,0,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Angelina's,New Westminster,49.200022,-122.91173,3.9,0,Quayside,59153657,3289.0,18312.9,48.8,55600.0
Artusi Restaurant,New Westminster,49.2105935011629,-122.917292262862,4.0,1,Glenbrooke North,59152859,720.0,4774.5,47.6,45600.0
Longtail Kitchen,New Westminster,49.1997723,-122.9124427,4.0,1,Quayside,59153657,3289.0,18312.9,48.8,55600.0
Sixth Street Grill,New Westminster,49.2108238069653,-122.917073781025,3.7,0,Queens Park,59152859,720.0,4774.5,47.6,45600.0
Cockney Kings Fish & Chips,New Westminster,49.2008661133601,-122.916763893224,4.0,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
The Tannenbaum Restaurant,New Westminster,49.201090932901955,-122.9177160369112,4.0,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Amelia Restaurant,New Westminster,49.20876,-122.93227,4.3,1,West End,59152947,692.0,5054.8,36.8,38800.0
The Hide Out Cafe,New Westminster,49.2029257,-122.9108691,4.2,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
The Old Bavaria Haus,New Westminster,49.208524,-122.914146,3.2,0,Queens Park,59152841,600.0,8968.6,40.4,46800.0
6th Ave Bread & Deli,New Westminster,49.2120019089755,-122.922128466349,4.4,1,Brow of the Hill,59152854,840.0,20289.9,41.2,30800.0
Jokim Kitchen,New Westminster,49.2123946,-122.92115999999676,4.1,1,Brow of the Hill,59152860,1004.0,7943.0,53.2,40000.0
Banette,New Westminster,49.212666374930784,-122.9200253,4.5,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Yianni's Greek Taverna,New Westminster,49.2124240808659,-122.919168452339,3.7,0,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Massawa Restaurant,New Westminster,49.21062,-122.91767,3.9,0,Queens Park,59152859,720.0,4774.5,47.6,45600.0
L’Onore Pizza,New Westminster,49.21402,-122.89781,4.6,1,McBride Sapperton,59154069,5467.0,8800.7,42.8,53600.0
Anny's Dairy Bar,New Westminster,49.214855,-122.922433,4.3,1,Glenbrook,59152955,977.0,3969.9,57.2,46000.0
Sushi Well,New Westminster,49.2126787,-122.9200936,4.0,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Ikoi Sushi,New Westminster,49.23018,-122.89239,4.4,1,Sapperton,59152877,438.0,4371.3,40.4,39200.0
IT Char Burger,New Westminster,49.222413,-122.9122126,4.5,1,Glenbrook,59152887,1037.0,7808.7,56.4,28600.0
North Noodle House,New Westminster,49.200992,-122.913094,3.9,0,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Burger Heaven,New Westminster,49.20138,-122.91604,3.6,0,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Dine Kanadiyan,New Westminster,49.21197868804981,-122.9211672344025,3.7,0,Uptown,59152860,1004.0,7943.0,53.2,40000.0
Big Star Sandwiches,New Westminster,49.2021828,-122.9094816,3.9,0,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Banh Mi Bar Restaurant,New Westminster,49.20279527932723,-122.91101334289716,4.7,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Re-Up BBQ,New Westminster,49.2000834965815,-122.911374465514,3.8,0,Quayside,59153657,3289.0,18312.9,48.8,55600.0
Jim's Cafe,New Westminster,49.2120564,-122.9192509,3.9,0,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Sushi Yen,New Westminster,49.2038975160565,-122.908591367304,3.8,0,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Chaiiwala,New Westminster,49.21238,-122.920151,4.2,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Arvind's Curry & Cocktail,New Westminster,49.2107666,-122.917511,3.1,0,Queens Park,59152859,720.0,4774.5,47.6,45600.0
Shawarma Corner,New Westminster,49.2029499,-122.9086533,4.5,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Thai New West,New Westminster,49.229001,-122.89251,3.8,0,Sapperton,59152876,1089.0,5163.6,37.2,45600.0
Kushi Mura Japanese Izakaya,New Westminster,49.2018489,-122.9127047,3.2,0,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Epic Grill Silogs + Sans Rival,New Westminster,49.190376,-122.9364904,4.1,1,Queensborough,59152821,518.0,3903.5,36.8,37600.0
Coasters Coffee,New Westminster,49.20435909515937,-122.9090041723834,4.3,1,Downtown,59152833,1178.0,43468.6,33.2,46000.0
Tina Vietnamese Cuisine,New Westminster,49.20230997138088,-122.91254500292511,4.5,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Balai in the Borough,New Westminster,49.19034444678847,-122.949241,3.8,0,Queensborough,59152819,2249.0,1821.2,36.4,42400.0
Kioku Kitchen,New Westminster,49.2015316664854,-122.9134644,4.4,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Sanjo Sushi Asian Cuisine,New Westminster,49.212860664254805,-122.92019516255849,4.4,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Donair Star,New Westminster,49.2083493,-122.93167515413184,4.0,1,Kelvin,59152947,692.0,5054.8,36.8,38800.0
Victoria Sushi,New Westminster,49.213378,-122.89888,4.0,1,McBride Sapperton,59154069,5467.0,8800.7,42.8,53600.0
Stefanos Restaurant,New Westminster,49.2054199,-122.90424,3.0,0,Downtown,59152837,852.0,5768.4,38.0,49600.0
Shiok,New Westminster,49.208416,-122.931803,4.6,1,Kelvin,59152947,692.0,5054.8,36.8,38800.0
Flavor Balance Espresso Bar,New Westminster,49.21223,-122.9205,4.3,1,Brow of the Hill,59152860,1004.0,7943.0,53.2,40000.0
Bubble World,New Westminster,49.2048187,-122.9100876,3.3,0,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Sushi Simagoya,New Westminster,49.1849621482515,-122.949424850882,4.6,1,Queensborough,59153524,1956.0,4457.6,38.0,43600.0
Pho Chan,New Westminster,49.2228583293267,-122.914227216925,3.8,0,Glenbrook,59152887,1037.0,7808.7,56.4,28600.0
Pizzeria Ludica,New Westminster,49.2040696455815,-122.909304314068,3.5,0,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Royal Tandoori Indian Restaurant,New Westminster,49.20512,-122.90983,3.7,0,Downtown,59152834,608.0,20132.5,38.0,51200.0
4 Seasons Chaat House,New Westminster,49.210675,-122.917569,3.6,0,Queens Park,59152859,720.0,4774.5,47.6,45600.0
Greens & Beans Deli,New Westminster,49.2229306,-122.8931559,4.3,1,McBride Sapperton,59152878,1649.0,1446.2,32.8,50400.0
Sichuan Yummy Food - Wonton House,New Westminster,49.20607,-122.92832,4.7,1,Brow of the Hill,59152951,323.0,11453.9,40.4,38000.0
Moodswing Coffee And Bar,New Westminster,49.2022517,-122.9085935,4.0,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Vadapav Mirchi By Geeta,New Westminster,49.20864846389665,-122.94274322034968,4.5,1,West End,59152929,630.0,4061.9,40.8,50800.0
Pho Angkor Noodle House,New Westminster,49.2012551,-122.9169549,4.5,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Desi Turka Indian Cuisine,New Westminster,49.220269,-122.929508,3.9,0,Edmonds,59152919,738.0,4755.2,42.0,33600.0
Woomi Sushi,New Westminster,49.2225852,-122.914627,4.3,1,Glenbrook,59152887,1037.0,7808.7,56.4,28600.0
Pizza Pizzeria,New Westminster,49.2308488,-122.9058827,4.2,1,Victory Heights,59152884,711.0,3137.7,41.6,44400.0
FusionCore Japanese Eatery,New Westminster,49.2194467307934,-122.927554920316,3.9,0,Edmonds,59152918,1046.0,9339.3,80.0,35200.0
The Taco Factory,New Westminster,49.22904,-122.89241,3.4,0,Sapperton,59152876,1089.0,5163.6,37.2,45600.0
Big Way Hot Pot,New Westminster,49.20104990676527,-122.91260437496535,4.7,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
The Chopped Leaf,New Westminster,49.2122867,-122.9190461,3.5,0,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Sushi Heaven,New Westminster,49.2306827,-122.8929216,3.8,0,Sapperton,59152873,585.0,9982.9,42.0,42400.0
Henry's Kitchen Pasta & Grill,New Westminster,49.27694,-122.85777,4.7,1,,59153958,467.0,428.3,35.6,44800.0
Abyssinia Ethiopian Restaurant,New Westminster,49.2224351,-122.9437792,3.9,0,Eastburn,59151261,603.0,4493.3,41.2,35600.0
gastronomia Italia,New Westminster,49.20325393435578,-122.90812679573745,4.4,1,Downtown,59152832,1973.0,7844.9,38.0,51200.0
Hi Dozo Sushi,New Westminster,49.212302836833665,-122.9218728,3.1,0,Brow of the Hill,59152854,840.0,20289.9,41.2,30800.0
Sora Sushi House,New Westminster,49.20252,-122.91375,4.5,1,Downtown,59153662,3194.0,24142.1,33.2,42800.0
Tasty Indian Bistro,New Westminster,49.1547435,-122.8905949,4.3,1,Kennedy,59152108,800.0,4571.4,34.8,35600.0
Mean Poutine,New Westminster,49.21308,-122.91995,4.3,1,Queens Park,59152860,1004.0,7943.0,53.2,40000.0
Kojima Sushi,New Westminster,49.2106056213379,-122.917495727539,2.8,0,Queens Park,59152859,720.0,4774.5,47.6,45600.0
